heading;content;id
Committee;;https://juris.ohchr.org/Search/Details/0
Communication number(s);;https://juris.ohchr.org/Search/Details/0
Author;;https://juris.ohchr.org/Search/Details/0
Display name;;https://juris.ohchr.org/Search/Details/0
Victim;;https://juris.ohchr.org/Search/Details/0
Countries;;https://juris.ohchr.org/Search/Details/0
Date of admissibility;;https://juris.ohchr.org/Search/Details/0
Submission date;;https://juris.ohchr.org/Search/Details/0
Date of adoption of the Views;;https://juris.ohchr.org/Search/Details/0
Session No;;https://juris.ohchr.org/Search/Details/0
Type of decision;;https://juris.ohchr.org/Search/Details/0
Comment;;https://juris.ohchr.org/Search/Details/0
Issues;;https://juris.ohchr.org/Search/Details/0
Articles;;https://juris.ohchr.org/Search/Details/0
Committee;CAT;https://juris.ohchr.org/Search/Details/1
Communication number(s);429/2010,;https://juris.ohchr.org/Search/Details/1
Author;Mallikathevi Sivagnanaratnam;https://juris.ohchr.org/Search/Details/1
Display name;Sivagnanaratnam;https://juris.ohchr.org/Search/Details/1
Victim;Mallikathevi Sivagnanaratnam;https://juris.ohchr.org/Search/Details/1
Countries;Denmark;https://juris.ohchr.org/Search/Details/1
Date of admissibility;;https://juris.ohchr.org/Search/Details/1
Submission date;18 Aug 2010;https://juris.ohchr.org/Search/Details/1
Date of adoption of the Views;11 Nov 2013;https://juris.ohchr.org/Search/Details/1
Session No;51;https://juris.ohchr.org/Search/Details/1
Type of decision;Adoption of views;https://juris.ohchr.org/Search/Details/1
Comment;;https://juris.ohchr.org/Search/Details/1
Issues;non-refoulement;https://juris.ohchr.org/Search/Details/1
Articles;CAT-3;https://juris.ohchr.org/Search/Details/1
Committee;CAT;https://juris.ohchr.org/Search/Details/2
Communication number(s);426/2010,;https://juris.ohchr.org/Search/Details/2
Author;R.D.;https://juris.ohchr.org/Search/Details/2
Display name;R.D.;https://juris.ohchr.org/Search/Details/2
Victim;R.D.;https://juris.ohchr.org/Search/Details/2
Countries;Switzerland;https://juris.ohchr.org/Search/Details/2
Date of admissibility;;https://juris.ohchr.org/Search/Details/2
Submission date;14 Jun 2010;https://juris.ohchr.org/Search/Details/2
Date of adoption of the Views;08 Nov 2013;https://juris.ohchr.org/Search/Details/2
Session No;51;https://juris.ohchr.org/Search/Details/2
Type of decision;Adoption of views;https://juris.ohchr.org/Search/Details/2
Comment;;https://juris.ohchr.org/Search/Details/2
Issues;;https://juris.ohchr.org/Search/Details/2
Articles;;https://juris.ohchr.org/Search/Details/2
Committee;CAT;https://juris.ohchr.org/Search/Details/3
Communication number(s);467/2011,;https://juris.ohchr.org/Search/Details/3
Author;Y.B.F., S.A.Q. and Y.Y.;https://juris.ohchr.org/Search/Details/3
Display name;Y.B.F., S.A.Q. and Y.Y.;https://juris.ohchr.org/Search/Details/3
Victim;Y.B.F., S.A.Q. and Y.Y.;https://juris.ohchr.org/Search/Details/3
Countries;Switzerland;https://juris.ohchr.org/Search/Details/3
Date of admissibility;;https://juris.ohchr.org/Search/Details/3
Submission date;24 Jun 2011;https://juris.ohchr.org/Search/Details/3
Date of adoption of the Views;31 May 2013;https://juris.ohchr.org/Search/Details/3
Session No;50;https://juris.ohchr.org/Search/Details/3
Type of decision;Adoption of views;https://juris.ohchr.org/Search/Details/3
Comment;;https://juris.ohchr.org/Search/Details/3
Issues;;https://juris.ohchr.org/Search/Details/3
Articles;;https://juris.ohchr.org/Search/Details/3
Committee;;https://juris.ohchr.org/Search/Details/4
Communication number(s);;https://juris.ohchr.org/Search/Details/4
Author;;https://juris.ohchr.org/Search/Details/4
Display name;;https://juris.ohchr.org/Search/Details/4
Victim;;https://juris.ohchr.org/Search/Details/4
Countries;;https://juris.ohchr.org/Search/Details/4
Date of admissibility;;https://juris.ohchr.org/Search/Details/4
Submission date;;https://juris.ohchr.org/Search/Details/4
Date of adoption of the Views;;https://juris.ohchr.org/Search/Details/4
Session No;;https://juris.ohchr.org/Search/Details/4
Type of decision;;https://juris.ohchr.org/Search/Details/4
Comment;;https://juris.ohchr.org/Search/Details/4
Issues;;https://juris.ohchr.org/Search/Details/4
Articles;;https://juris.ohchr.org/Search/Details/4
Committee;CAT;https://juris.ohchr.org/Search/Details/5
Communication number(s);441/2010,;https://juris.ohchr.org/Search/Details/5
Author;Oleg Evloev;https://juris.ohchr.org/Search/Details/5
Display name;Evloev;https://juris.ohchr.org/Search/Details/5
Victim;Oleg Evloev;https://juris.ohchr.org/Search/Details/5
Countries;Kazakhstan;https://juris.ohchr.org/Search/Details/5
Date of admissibility;;https://juris.ohchr.org/Search/Details/5
Submission date;20 Dec 2010;https://juris.ohchr.org/Search/Details/5
Date of adoption of the Views;05 Nov 2013;https://juris.ohchr.org/Search/Details/5
Session No;51;https://juris.ohchr.org/Search/Details/5
Type of decision;Adoption of views;https://juris.ohchr.org/Search/Details/5
Comment;;https://juris.ohchr.org/Search/Details/5
Issues;;https://juris.ohchr.org/Search/Details/5
Articles;;https://juris.ohchr.org/Search/Details/5
Committee;CAT;https://juris.ohchr.org/Search/Details/6
Communication number(s);438/2010,;https://juris.ohchr.org/Search/Details/6
Author;M.A.H. and F.H;https://juris.ohchr.org/Search/Details/6
Display name;M.A.H. and F.H;https://juris.ohchr.org/Search/Details/6
Victim;M.A.H. and F.H;https://juris.ohchr.org/Search/Details/6
Countries;Switzerland;https://juris.ohchr.org/Search/Details/6
Date of admissibility;;https://juris.ohchr.org/Search/Details/6
Submission date;15 Nov 2010;https://juris.ohchr.org/Search/Details/6
Date of adoption of the Views;07 Nov 2013;https://juris.ohchr.org/Search/Details/6
Session No;51;https://juris.ohchr.org/Search/Details/6
Type of decision;Adoption of views;https://juris.ohchr.org/Search/Details/6
Comment;;https://juris.ohchr.org/Search/Details/6
Issues;;https://juris.ohchr.org/Search/Details/6
Articles;;https://juris.ohchr.org/Search/Details/6
Committee;CAT;https://juris.ohchr.org/Search/Details/7
Communication number(s);434/2010,;https://juris.ohchr.org/Search/Details/7
Author;Y.G.H. et al;https://juris.ohchr.org/Search/Details/7
Display name;Y.G.H. et al;https://juris.ohchr.org/Search/Details/7
Victim;Y.G.H. et al;https://juris.ohchr.org/Search/Details/7
Countries;Australia;https://juris.ohchr.org/Search/Details/7
Date of admissibility;;https://juris.ohchr.org/Search/Details/7
Submission date;24 Oct 2010;https://juris.ohchr.org/Search/Details/7
Date of adoption of the Views;14 Nov 2013;https://juris.ohchr.org/Search/Details/7
Session No;51;https://juris.ohchr.org/Search/Details/7
Type of decision;Adoption of views;https://juris.ohchr.org/Search/Details/7
Comment;;https://juris.ohchr.org/Search/Details/7
Issues;;https://juris.ohchr.org/Search/Details/7
Articles;;https://juris.ohchr.org/Search/Details/7
Committee;CAT;https://juris.ohchr.org/Search/Details/8
Communication number(s);392/2009,;https://juris.ohchr.org/Search/Details/8
Author;R.S.M.;https://juris.ohchr.org/Search/Details/8
Display name;R.S.M.;https://juris.ohchr.org/Search/Details/8
Victim;R.S.M.;https://juris.ohchr.org/Search/Details/8
Countries;Canada;https://juris.ohchr.org/Search/Details/8
Date of admissibility;;https://juris.ohchr.org/Search/Details/8
Submission date;09 Jul 2009;https://juris.ohchr.org/Search/Details/8
Date of adoption of the Views;24 May 2013;https://juris.ohchr.org/Search/Details/8
Session No;50;https://juris.ohchr.org/Search/Details/8
Type of decision;Adoption of views;https://juris.ohchr.org/Search/Details/8
Comment;;https://juris.ohchr.org/Search/Details/8
Issues;;https://juris.ohchr.org/Search/Details/8
Articles;;https://juris.ohchr.org/Search/Details/8
Committee;CAT;https://juris.ohchr.org/Search/Details/9
Communication number(s);430/2010,;https://juris.ohchr.org/Search/Details/9
Author;Inass Abichou (née Seifeddine);https://juris.ohchr.org/Search/Details/9
Display name;Abichou;https://juris.ohchr.org/Search/Details/9
Victim;Onsi Abichou (the complainant's husband);https://juris.ohchr.org/Search/Details/9
Countries;Germany;https://juris.ohchr.org/Search/Details/9
Date of admissibility;;https://juris.ohchr.org/Search/Details/9
Submission date;25 Aug 2010;https://juris.ohchr.org/Search/Details/9
Date of adoption of the Views;21 May 2013;https://juris.ohchr.org/Search/Details/9
Session No;50;https://juris.ohchr.org/Search/Details/9
Type of decision;Adoption of views;https://juris.ohchr.org/Search/Details/9
Comment;;https://juris.ohchr.org/Search/Details/9
Issues;;https://juris.ohchr.org/Search/Details/9
Articles;;https://juris.ohchr.org/Search/Details/9
Committee;CAT;https://juris.ohchr.org/Search/Details/10
Communication number(s);431/2010,;https://juris.ohchr.org/Search/Details/10
Author;Y.;https://juris.ohchr.org/Search/Details/10
Display name;Y.;https://juris.ohchr.org/Search/Details/10
Victim;Y.;https://juris.ohchr.org/Search/Details/10
